Abbreviation,Full Form
Allergol Immunopathol Madr,Allergologia et Immunopathologia
Allergol Int,Allergology International
Allergy Asthma Proc,Allergy and Asthma Proceedings
Allergy Proc,Allergy Proceedings
Allergy,Allergy
Allied Health Behav Sci,Allied Health and Behavioral Sciences
Alma Mater Baltimore,Alma Mater
Alpha Omega Fr,Alpha Omega France
Alpha Omegan,Alpha Omegan
Altern Entwickl Aging Dev,Altern und Entwicklung (Aging and Development)
Altern Med Rev,Alternative Medicine Review
Altern Ther Health Med,Alternative Therapies in Health and Medicine
Altern Lab Anim,Alternatives to Laboratory Animals
Alumnae Mag Columbia Univ Presbyt Hosp Sch Nurs Alumnae Assoc,"Alumnae Magazine, Columbia University-Presbyterian Hospital School of Nursing Alumnae Association"
Alumnae Mag Johns Hopkins Hosp Sch Nurs Alumnae Assoc,"Alumnae Magazine, Johns Hopkins Hospital School of Nursing Alumnae Association"
Alumni Bull Sch Dent Indiana Univ,"Alumni Bulletin, School of Dentistry, Indiana University"
Alumni Bull Univ Mich Sch Dent,"Alumni Bulletin, University of Michigan School of Dentistry"
Alumni Mag,"Alumni Magazine, Alumni Association of the Johns Hopkins Hospital School of Nursing"
Alumni Mag Columbia Univ Presbyt Hosp Sch Nurs Alumni Assoc,"Alumni Magazine, Columbia University-Presbyterian Hospital School of Nursing Alumni Association"
Alzheimer Dis Assoc Disord,Alzheimer Disease and Associated Disorders
Alzheimers Res Ther,Alzheimer's Research and Therapy
AM Rep,AM Reports
AMB Rev Assoc Med Bras,AMB: Revista da Associacao Medica Brasileira
Ambul Care,Ambulatory Care
Ambul Outreach,Ambulatory Outreach
Ambul Pediatr,Ambulatory Pediatrics
AMDI Boll,AMDI Bollettino
AMD TR Rep,AMD-TR Reports
Am Ann Deaf,American Annals of the Deaf
Am Arch Rehabil Ther,American Archives of Rehabilitation Therapy
Am Assoc Ind Nurses J,American Association of Industrial Nurses Journal
Am Behav Sci,American Behavioral Scientist
Am Biotechnol Lab,American Biotechnology Laboratory
Am Clin Lab,American Clinical Laboratory
Am Coll Physicians Obs,American College of Physicians Observer
Am Correct Ther J,American Corrective Therapy Journal
Am Demogr,American Demographics
Am Econ Rev,American Economic Review
Am Educ,American Education
Am Fam Physician,American Family Physician
Am Fam Physician GP,American Family Physician/GP
Am Heart Hosp J,American Heart Hospital Journal
Am Heart J,American Heart Journal
Am Imago,American Imago
Am Indian Alsk Native Ment Health Res,American Indian and Alaska Native Mental Health Research
Am Indian Alsk Native Ment Health Res Monogr Ser,American Indian and Alaska Native Mental Health Research. Monograph Series
Am Ind Hyg Assoc J,American Industrial Hygiene Association Journal
Am J Alzheimers Dis Other Demen,American Journal of Alzheimer's Disease and Other Dementias
Am J Anat,American Journal of Anatomy
Am J Anesthesiol,American Journal of Anesthesiology
Am J Art Ther,American Journal of Art Therapy
Am J Bioeth,American Journal of Bioethics
Am J Biomed Sci,American Journal of Biomedical Sciences
Am J Bot,American Journal of Botany
Am J Card Imaging,American Journal of Cardiac Imaging
Am J Cardiol,American Journal of Cardiology
Am J Cardiovasc Drugs,American Journal of Cardiovascular Drugs
Am J Cardiovasc Pathol,American Journal of Cardiovascular Pathology
Am J Chin Med,American Journal of Chinese Medicine
Am J Clin Dermatol,American Journal of Clinical Dermatology
Am J Clin Hypn,American Journal of Clinical Hypnosis
Am J Clin Nutr,American Journal of Clinical Nutrition
Am J Clin Oncol,American Journal of Clinical Oncology
Am J Clin Pathol,American Journal of Clinical Pathology
Am J Community Psychol,American Journal of Community Psychology
Am J Contact Dermat,American Journal of Contact Dermatitis
Am J Crit Care,American Journal of Critical Care
Am J Dent,American Journal of Dentistry
Am J Dermatopathol,American Journal of Dermatopathology
Am J Dig Dis,American Journal of Digestive Diseases
Am J Dis Child,American Journal of Diseases of Children
Am J Drug Alcohol Abuse,American Journal of Drug and Alcohol Abuse
Am J Econ Sociol,American Journal of Economics and Sociology
Am J EEG Technol,American Journal of EEG Technology
Am J Emerg Med,American Journal of Emergency Medicine
Am J Epidemiol,American Journal of Epidemiology
Am J Forensic Med Pathol,American Journal of Forensic Medicine and Pathology
Am J Gastroenterol,American Journal of Gastroenterology
Am J Geriatr Pharmacother,American Journal of Geriatric Pharmacotherapy
Am J Geriatr Psychiatry,American Journal of Geriatric Psychiatry
Am J Health Behav,American Journal of Health Behavior
Am J Health Plann,American Journal of Health Planning
Am J Health Promot,American Journal of Health Promotion
Am J Health Syst Pharm,American Journal of Health-System Pharmacy
Am J Hematol,American Journal of Hematology
Am J Hosp Palliat Care,American Journal of Hospice and Palliative Care
Am J Hosp Care,American Journal of Hospice Care
Am J Hosp Pharm,American Journal of Hospital Pharmacy
Am J Hum Genet,American Journal of Human Genetics
Am J Hypertens,American Journal of Hypertension
Am J Ind Med,American Journal of Industrial Medicine
Am J Infect Control,American Journal of Infection Control
Am J Kidney Dis,American Journal of Kidney Diseases
Am J Knee Surg,American Journal of Knee Surgery
Am J Law Med,American Journal of Law and Medicine
Am J Manag Care,American Journal of Managed Care
Am J Med Electron,American Journal of Medical Electronics
Am J Med Genet,American Journal of Medical Genetics
Am J Med Genet A,American Journal of Medical Genetics. Part A
Am J Med Genet B Neuropsychiatr Genet,"American Journal of Medical Genetics. Part B, Neuropsychiatric Genetics"
Am J Med Genet C Semin Med Genet,"American Journal of Medical Genetics. Part C, Seminars in Medical Genetics"
Am J Med Genet Suppl,American Journal of Medical Genetics. Supplement
Am J Med Qual,American Journal of Medical Quality
Am J Med Technol,American Journal of Medical Technology
Am J Med,American Journal of Medicine
Am J Ment Defic,American Journal of Mental Deficiency
Am J Ment Retard,American Journal of Mental Retardation
Am J Nephrol,American Journal of Nephrology
Am J Nurs,American Journal of Nursing
Am J Obstet Gynecol,American Journal of Obstetrics and Gynecology
Am J Occup Ther,American Journal of Occupational Therapy
Am J Ophthalmol,American Journal of Ophthalmology
Am J Optom Arch Am Acad Optom,American Journal of Optometry and Archives of American Academy of Optometry
Am J Optom Physiol Opt,American Journal of Optometry and Physiological Optics
Am J Orthod Dentofacial Orthop,American Journal of Orthodontics and Dentofacial Orthopedics
Am J Orthod,American Journal of Orthodontics
Am J Orthop Surg,American Journal of Orthopedic Surgery
Am J Orthop,American Journal of Orthopedics
Am J Orthop,American Journal of Orthopedics
Am J Orthopsychiatry,American Journal of Orthopsychiatry
Am J Otolaryngol,American Journal of Otolaryngology
Am J Otol,American Journal of Otology
Am J Pathol,American Journal of Pathology
Am J Pediatr Hematol Oncol,American Journal of Pediatric Hematology/Oncology
Am J Perinatol,American Journal of Perinatology
Am J Pharm Educ,American Journal of Pharmaceutical Education
Am J Pharmacogenomics,American Journal of Pharmacogenomics
Am J Pharm Sci Support Public Health,American Journal of Pharmacy and the Sciences Supporting Public Health
Am J Phys Anthropol,American Journal of Physical Anthropology
Am J Phys Med Rehabil,American Journal of Physical Medicine and Rehabilitation
Am J Phys Med,American Journal of Physical Medicine
Am J Physiol Imaging,American Journal of Physiologic Imaging
Am J Physiol,American Journal of Physiology
Am J Physiol Cell Physiol,American Journal of Physiology. Cell Physiology
Am J Physiol Endocrinol Metab,American Journal of Physiology. Endocrinology and Metabolism
Am J Physiol Gastrointest Liver Physiol,American Journal of Physiology. Gastrointestinal and Liver Physiology
Am J Physiol Heart Circ Physiol,American Journal of Physiology. Heart and Circulatory Physiology
Am J Physiol Lung Cell Mol Physiol,American Journal of Physiology. Lung Cellular and Molecular Physiology
Am J Physiol Regul Integr Comp Physiol,"American Journal of Physiology. Regulatory, Integrative and Comparative Physiology"
Am J Physiol Renal Physiol,American Journal of Physiology. Renal Physiology
Am J Pract Nurs,American Journal of Practical Nursing
Am J Prev Med,American Journal of Preventive Medicine
Am J Primatol,American Journal of Primatology
Am J Proctol,American Journal of Proctology
Am J Proctol Gastroenterol Colon Rectal Surg,"American Journal of Proctology, Gastroenterology and Colon and Rectal Surgery"
Am J Psychiatry,American Journal of Psychiatry
Am J Psychoanal,American Journal of Psychoanalysis
Am J Psychol,American Journal of Psychology
Am J Psychother,American Journal of Psychotherapy
Am J Public Health Nations Health,American Journal of Public Health and the Nation's Health
Am J Public Health,American Journal of Public Health
Am J Reprod Immunol Microbiol,American Journal of Reproductive Immunology and Microbiology
Am J Reprod Immunol,American Journal of Reproductive Immunology
Am J Respir Crit Care Med,American Journal of Respiratory and Critical Care Medicine
Am J Respir Cell Mol Biol,American Journal of Respiratory Cell and Molecular Biology
Am J Rhinol,American Journal of Rhinology
Am J Roentgenol,American Journal of Roentgenology
Am J Roentgenol Radium Ther Nucl Med,"American Journal of Roentgenology, Radium Therapy and Nuclear Medicine"
Am J Speech Lang Pathol,American Journal of Speech-Language Pathology
Am J Sports Med,American Journal of Sports Medicine
Am J Surg,American Journal of Surgery
Am J Surg Pathol,American Journal of Surgical Pathology
Am J Med Sci,American Journal of the Medical Sciences
Am J Ther,American Journal of Therapeutics
Am J Transl Res,American Journal of Translational Research
Am J Transplant,American Journal of Transplantation
Am J Trop Med Hyg,American Journal of Tropical Medicine and Hygiene
Am J Vet Res,American Journal of Veterinary Research
Am J Addict,American Journal on Addictions
Am Laund Dig,American Laundry Digest
Am Libr,American Libraries
Am Lung Assoc Bull,American Lung Association Bulletin
Am Med News,American Medical News
Am Nat,American naturalist
Am Nurse,American Nurse
ANA Publ,American Nurses Association Publications
Am Orthopt J,American Orthoptic Journal
Am Pharm,American Pharmacy
Am Psychol,American Psychologist
Am Rehabil,American Rehabilitation
Am Rev Respir Dis,American Review of Respiratory Disease
Am Sci,American Scientist
Am Sociol Rev,American Sociological Review
Am Surg,American Surgeon
Am Univ Law Rev,American University Law Review
Am Zool,American Zoologist
AMHC Forum,AMHC Forum
AMIA Annu Symp Proc,AMIA Annual Symposium Proceedings
Amino Acids,Amino Acids
AMRL TR,AMRL-TR
AMRO,AMRO
Amyloid,Amyloid
Amyotroph Lateral Scler Other Motor Neuron Disord,Amyotrophic Lateral Sclerosis and Other Motor Neuron Disorders
Amyotroph Lateral Scler,Amyotrophic Lateral Sclerosis
AN Ark Nurse,AN: Arkansas Nurse
ANA Clin Conf,ANA Clinical Conferences
ANA Clin Sess,ANA Clinical Sessions
Anadolu Kardiyol Derg,Anadolu Kardiyoloji Dergisi
Anaesth Intensive Care,Anaesthesia and Intensive Care
Anaesthesia,Anaesthesia
Anaesth Resusc Intensive Ther,"Anaesthesia, Resuscitation and Intensive Therapy"
Anaesthesiol Reanim,Anaesthesiologie und Reanimation
Anaesthesist,Anaesthesist
An Bras Dermatol,Anais Brasileiros de Dermatologia
An Bras Ginecol,Anais Brasileiros de Ginecologia
An Acad Bras Cienc,Anais da Academia Brasileira de Ciencias
An Esc Nacl Saude Publica Med Trop Lisb,Anais da Escola Nacional de Saude Publica e de Medicina Tropical
An Fac Odontol Univ Fed Pernambuco,Anais da Faculdade de Odontologia da Universidade Federal de Pernambuco
An Microbiol Rio J,Anais de Microbiologia
An Inst Hig Med Trop Lisb,Anais do Instituto de Higiene e Medicina Tropical
An Inst Med Trop Lisb,Anais do Instituto de Medicina Tropical
An Paul Med Cir,Anais Paulistas de Medicina e Cirurgia
An Cir Rosario,Anales de Cirugia
An Fac Med Univ Repub Montev Urug,"Anales de la Facultad de Medicina, Universidad de la Republica, Montevideo, Uruguay"
An Fac Med Lima,"Anales de la Facultad de Medicina, Universidad Nacional Mayor de San Marcos de Lima"
An Fac Odontol,Anales de la Facultad de Odontologia
An Real Acad Farm,Anales de la Real Academia de Farmacia; Instituto de Espana
An R Acad Nac Med Madr,Anales de la Real Academia Nacional de Medicina
An Med Interna,Anales de Medicina Interna
An Med Lima,Anales de Medicina
An Med Cir,Anales de Medicina: Cirugia
An Med Espec,Anales de Medicina: Especialidades
An Med Med,Anales de Medicina: Medicina
An Pediatr,Anales de Pediatria
An Programa Acad Med Lima,Anales del Programa Academico de Medicina
An Esp Odontoestomatol,Anales Espanoles de Odontoestomatologia
An Esp Pediatr,Anales Espanoles de Pediatria
An Otorrinolaringol Ibero Am,Anales Otorrinolaringologicos Iberoamericanos
An Inst Invest Odontol Maracaibo,"Anales, Instituto de Investigaciones Odontologicas, Universidad del Zulia"
Analyst,Analyst
Anal Chim Acta,Analytica Chimica Acta
Anal Bioanal Chem,Analytical and Bioanalytical Chemistry
Anal Quant Cytol Histol,Analytical and Quantitative Cytology and Histology
Anal Quant Cytol,Analytical and Quantitative Cytology
Anal Biochem,Analytical Biochemistry
Anal Cell Pathol,Analytical Cellular Pathology
Anal Chem,Analytical Chemistry
Anasth Intensivther Notf Med,"Anasthesie, Intensivtherapie, Notfallmedizin"
Anasthesiol Intensivmed Notfallmed Schmerzther,"Anasthesiologie, Intensivmedizin, Notfallmedizin, Schmerztherapie"
Anasthesiol Intensivmed Prax,Anasthesiologische und Intensivmedizinische Praxis
Anat Clin,Anatomia Clinica
Anat Histol Embryol,"Anatomia, Histologia, Embryologia"
Anat Pathol,Anatomic Pathology
Anat Rec,Anatomical Record
Anat Rec A Discov Mol Cell Evol Biol,"Anatomical Record. Part A, Discoveries in Molecular, Cellular, and Evolutionary Biology"
Anat Rec B New Anat,"Anatomical Record. Part B, New Anatomist"
Anat Rec Suppl,Anatomical Record. Supplement
Anat Sci Int,Anatomical Science International
Anat Sci Educ,Anatomical Sciences Education
Anat Anz,Anatomischer Anzeiger
Anat Embryol Berl,Anatomy and Embryology
Andrologia,Andrologia
Andrologie,Andrologie
ANEC,ANEC
Anesteziol Reanimatol,Anesteziologiia i Reanimatologiia
Anesth Analg,Anesthesia and Analgesia
Anesth Pain Control Dent,Anesthesia and Pain Control in Dentistry
Anesth Prog,Anesthesia Progress
Anesth Analg Paris,"Anesthesie, Analgesie, Reanimation"
Anesthesiol Clin,Anesthesiology Clinics
Anesthesiol Rev,Anesthesiology Review
Anesthesiology,Anesthesiology
Angeiologie,Angeiologie
Angew Chem Int Ed Engl,Angewandte Chemie. International Edition in English
Angew Parasitol,Angewandte Parasitologie
Angiogenesis,Angiogenesis
Angiologia,Angiologia
Angiologica,Angiologica
Angiology,Angiology
Angle Orthod,Angle Orthodontist
Anglo Ger Med Rev,Anglo-German Medical Review
Anim Behav,Animal Behaviour
Anim Biotechnol,Animal Biotechnology
Anim Blood Groups Biochem Genet,Animal Blood Groups and Biochemical Genetics
Anim Blood Groups Biochem Genet Suppl,Animal Blood Groups and Biochemical Genetics. Supplement
Anim Cogn,Animal Cognition
Anim Genet,Animal Genetics
Anim Health Res Rev,Animal Health Research Reviews
Anim Learn Behav,Animal Learning and Behavior
Anim Reprod Sci,Animal Reproduction Science
Ankara Univ Hekim Fak Derg,Ankara Universitesi Dis Hekimligi Fakultesi Dergisi (Journal of the Dental Faculty of Ankara University)
ANL Rep,ANL Reports
ANNA J,ANNA Journal
Ann Acad Med Stetin,Annales Academiae Medicae Stetinensis
Ann Acad Med Stetin Supl,Annales Academiae Medicae Stetinensis. Suplement
Ann Acad Sci Fenn Biol,"Annales Academiae Scientiarum Fennicae. Series A IV, Biologica"
Ann Acad Sci Fenn A,"Annales Academiae Scientiarum Fennicae. Series A V, Medica"
Ann Chir Gynaecol Fenn,Annales Chirurgiae et Gynaecologiae Fenniae
Ann Chir Gynaecol Fenn Suppl,Annales Chirurgiae et Gynaecologiae Fenniae. Supplement
Ann Chir Gynaecol,Annales Chirurgiae et Gynaecologiae
Ann Chir Gynaecol Suppl,Annales Chirurgiae et Gynaecologiae. Supplementum
Ann Endocrinol Paris,Annales d Endocrinologie
Ann Histochim,Annales d Histochimie
Ann Immunol Paris,Annales d Immunologie
Ann Ocul Paris,Annales d Oculistique
Ann Otolaryngol Chir Cervicofac,Annales d Oto-Laryngologie et de Chirurgie Cervico-Faciale
Ann Urol Paris,Annales d Urologie
Ann Anat Pathol Paris,Annales d'Anatomie Pathologique
Ann Biol Anim Biochim Biophys,"Annales de Biologie Animale, Biochimie, Biophysique"
Ann Biol Clin Paris,Annales de Biologie Clinique
Ann Cardiol Angeiol Paris,Annales de Cardiologie et d'Angeiologie
Ann Chir Main Memb Super,Annales de Chirurgie de la Main et du Membre Superieur
Ann Chir Main,Annales de Chirurgie de la Main
Ann Chir Infant,Annales de Chirurgie Infantile
Ann Chir Plast Esthet,Annales de Chirurgie Plastique et Esthetique
Ann Chir Plast,Annales de Chirurgie Plastique
Ann Chir Thorac Cardiovasc,Annales de Chirurgie Thoracique et Cardio-Vasculaire
Ann Chir,Annales de Chirurgie
Ann Dermatol Syphiligr Paris,Annales de Dermatologie et de Syphiligraphie
Ann Dermatol Venereol,Annales de Dermatologie et de Venereologie
Ann Droit Int Med,Annales de Droit International Medical
Ann Gastroenterol Hepatol Paris,Annales de Gastroenterologie et d'Hepatologie
Ann Genet Sel Anim,Annales de Genetique et de Selection Animale
Ann Genet,Annales de Genetique
Ann Inst Pasteur Lille,Annales de l Institut Pasteur de Lille
Ann Inst Pasteur Paris,Annales de l Institut Pasteur
Ann Inst Pasteur Immunol,Annales de l Institut Pasteur. Immunologie
Ann Inst Pasteur Immunol,Annales de l Institut Pasteur. Immunology
Ann Inst Pasteur Microbiol,Annales de l Institut Pasteur. Microbiologie
Ann Inst Pasteur Microbiol,Annales de l Institut Pasteur. Microbiology
Ann Inst Pasteur Virol,Annales de l Institut Pasteur. Virology
Ann Nutr Aliment,Annales de la Nutrition et de l Alimentation
Ann Soc Belg Med Trop,Annales de la Societe Belge de Medecine Tropicale
Ann Soc R Sci Med Nat Brux,Annales de la Societe Royale des Sciences Medicales et Naturelles de Bruxelles
Ann Anesthesiol Fr,Annales de l'Anesthesiologie Francaise
Ann Med Interne Paris,Annales de Medecine Interne
Ann Med Leg Criminol Police Sci Toxicol,"Annales de Medecine Legale, Criminologie, Police Scientifique et Toxicologie"
Ann Microbiol Paris,Annales de Microbiologie
Ann Parasitol Hum Comp,Annales de Parasitologie Humaine et Comparee
Ann Pathol,Annales de Pathologie
Ann Pediatr Paris,Annales de Pediatrie
Ann Radiol Paris,Annales de Radiologie
Ann Rech Vet,Annales de Recherches Veterinaires
Ann Fr Anesth Reanim,Annales Francaises d'Anesthesie et de Reanimation
Ann Immunol Hung,Annales Immunologiae Hungaricae
